SourceElementKey,BlockfaceName,SideOfStreet,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,PaidParkingRate,ParkingCategory,longitude,latitude
33734,JAMES ST BETWEEN 2ND AVE AND 3RD AVE,SE,120,7,Pioneer Square,Core,,Paid Parking,122.33190037,47.60249629
10157,EASTLAKE AVE E BETWEEN MERCER ST AND LAKEVIEW BLVD E,W,120,6,South Lake Union,South,,Paid Parking,122.32929908,47.62470623
32462,CHERRY ST BETWEEN 1ST AVE AND 2ND AVE,SE,120,7,Pioneer Square,Core,,Paid Parking,122.33364026,47.6027526
66613,S WELLER ST BETWEEN 6TH AVE S AND MAYNARD AVE S,N,120,7,Chinatown/ID,Core,,Paid Parking,122.32568806,47.59758256
11018,HUBBELL PL BETWEEN UNIVERSITY ST AND 9TH AVE,E,120,13,First Hill,,,Carpool Parking,122.33064935,47.61057752
33673,HOWELL ST BETWEEN 9TH AVE AND TERRY AVE,NW,240,9,Denny Triangle,North,,Paid Parking,122.33279095,47.61522135
13138,THOMAS ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,S,600,2,South Lake Union,South,,Paid Parking,122.33510817,47.62078405
23873,W REPUBLICAN ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W,N,120,5,Uptown,Core,,Paid Parking,122.35739479,47.62333949
34293,MARION ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,NW,120,4,Commercial Core,Waterfront,,Paid Parking,122.33714332,47.60339811
11865,MINOR AVE BETWEEN COLUMBIA ST AND MARION ST,SW,120,7,First Hill,,,Paid Parking,122.32312547,47.60869907
81705,YESLER WAY BETWEEN 2ND AVE AND 3RD AVE,N,120,3,Pioneer Square,Edge,,Paid Parking,122.33110981,47.601775
54669,BROAD ST BETWEEN WESTERN AVE AND 1ST AVE,NW,240,5,Belltown,North,,Paid Parking,122.35303647,47.61664133
53810,9TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,E,600,4,South Lake Union,South,,Paid Parking,122.33965677,47.62387194
14701,E PINE ST BETWEEN 14TH AVE AND 15TH AVE,N,120,6,Pike-Pine,,,Paid Parking,122.31351093,47.61535852
32426,CEDAR ST BETWEEN WESTERN AVE AND 1ST AVE,SE,240,6,Belltown,North,,Paid Parking,122.35096316,47.61541688
9697,CHERRY ST BETWEEN TERRY AVE AND BOREN AVE,NW,120,11,First Hill,,,Paid Parking,122.32379003,47.60700114
16941,NE 42ND ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,N,120,8,University District,Core,,Paid Parking,122.31260747,47.65836262
14950,E UNION ST BETWEEN SENECA ST AND BROADWAY,S,120,5,Pike-Pine,,,Paid Parking,122.32131404,47.61293473
58829,WESTLAKE AVE N BETWEEN DENNY WAY AND JOHN ST,W,120,4,South Lake Union,South,,Paid Parking,122.3385976,47.61911756
13121,THOMAS ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,240,4,Uptown,Edge,,Paid Parking,122.35608775,47.62098771
13309,VIRGINIA ST BETWEEN 5TH AVE AND 6TH AVE,NW,120,9,Belltown,South,,Paid Parking,122.33882237,47.61411105
35706,TERRACE ST BETWEEN TERRY AVE AND BOREN AVE,SE,120,8,First Hill,,,Restricted Parking Zone,122.32173593,47.60477148
1013,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,30,4,Commercial Core,Retail,,Paid Parking,122.33798252,47.60642352
34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,120,5,Commercial Core,Financial,,Paid Parking,122.33119149,47.60673566
8242,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,120,5,First Hill,,,Paid Parking,122.32786582,47.60573702
36097,WESTERN AVE BETWEEN MADISON ST AND SPRING ST,SW,120,7,Commercial Core,Waterfront,,Paid Parking,122.33777699,47.60456823
35694,TAYLOR AVE N BETWEEN DENNY WAY AND JOHN ST,E,600,6,Uptown Triangle,,,Paid Parking,122.34616925,47.61915653
80889,STEWART ST BETWEEN 8TH AVE AND 9TH AVE,NW,240,4,Denny Triangle,North,,Paid Parking,122.33493627,47.61534249
64318,NW MARKET ST BETWEEN 17TH AVE NW AND BARNES AVE NW,S,240,9,Ballard,Edge,,Paid Parking,122.37955206,47.66858978
34569,NAGLE PL BETWEEN E PINE ST AND E OLIVE ST,W,240,9,Capitol Hill,South,,Paid Parking,122.32009917,47.61586859
34505,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,600,13,South Lake Union,South,,Paid Parking,122.33309119,47.62139739
11718,MAYNARD AVE S BETWEEN S MAIN ST AND S JACKSON ST,E,120,8,Chinatown/ID,Edge,,Paid Parking,122.32495245,47.59960682
54009,ALASKAN WAY BETWEEN XW BELL ST AND WALL ST,SW,240,15,Belltown,North,,Paid Parking,122.35002691,47.61208131
87286,NW VERNON PL BETWEEN BALLARD AVE NW AND SHILSHOLE AVE NW,SE,240,8,Ballard,Edge,,Paid Parking,122.38361562,47.66609158
37185,E PINE ST BETWEEN BROADWAY AND NAGLE PL,N,120,2,Pike-Pine,,,Paid Parking,122.32035445,47.61533442
57018,MAYNARD AVE S BETWEEN S WELLER ST AND S LANE ST,E,120,6,Chinatown/ID,Core,,Paid Parking,122.32499081,47.59707304
24058,1ST AVE N BETWEEN DENNY WAY AND JOHN ST,E,240,3,Uptown,Edge,,Paid Parking,122.35536309,47.61918751
58813,WESTERN AVE BETWEEN CLAY ST AND BROAD ST,SW,240,6,Belltown,North,,Paid Parking,122.35292896,47.6159119
